CIA_PCT,GPA,ATT_PCT
69.0,3.4,98.0
75.0,3.69,95.0
82.0,3.41,95.0
91.0,3.6,92.0
70.0,3.54,93.0
75.0,3.67,98.0
74.0,3.4,94.0
68.0,3.4,85.0
73.0,3.6,90.0
79.0,3.73,93.0
72.0,3.54,95.0
80.0,3.0,95.0
78.0,3.32,95.0
7.0,8.0,85.0
70.0,3.49,100.0
60.0,3.0,85.0
68.0,3.14,88.0
71.0,3.4,91.0
64.0,3.11,100.0
71.78,3.49,96.54
70.0,3.34,95.0
63.0,3.4,90.0
76.0,3.69,95.0
83.0,3.9,98.0
80.0,3.37,94.7
72.0,3.55,93.0
70.0,3.4,96.0
70.0,3.0,93.0
71.0,3.33,99.0
77.0,3.3,90.0
80.0,3.79,100.0
80.0,3.12,92.0
80.0,3.6,95.0
70.0,3.4,94.0
85.0,3.14,89.0
71.0,3.4,88.0
68.0,3.4,97.0
67.0,3.46,95.0
72.0,3.4,100.0
65.0,3.3,89.0
76.0,3.6,96.0
75.2,3.54,96.0
69.78,3.3,92.0
71.11,3.37,93.0
79.56,3.6,95.0
75.0,3.66,95.0
70.0,3.69,97.0
62.0,3.0,97.0
66.0,2.74,90.0
63.0,3.13,94.0
